"","title","Hierarchy","Occupation.type","Employment.2016","Employment.2026","ChgEmploy.2016to26.Num","ChgEmploy.2016to26.Perc","Percent.self.employed..2016","Occupational.openings..2016.26.annual.average","Median.annual.wage..2017.1.","Typical.education.needed.for.entry","Work.experience.in.a.related.occupation","Typical.on.the.job.training.needed.to.attain.competency.in.the.occupation","ttl","Level0","Level4","Level3","Level2","Level1","pathString"
"966","Cabinetmakers & bench carpenters",3,"Line item","109.3","111.8","2.5",2.3,10.3,"11.5","$33,920 ","High school diploma or equivalent","None","Moderate-term on-the-job training","Cabinetmakers & bench carpenters","Jobs","Textile, apparel, etc","Cabinetmakers & bench carpenters","Woodworkers","Production occupations","Jobs/Production occupations/Woodworkers/Cabinetmakers & bench carpenters/Textile, apparel, etc"
"967","Furniture finishers",3,"Line item","22.4","22.3","-0.1",-0.4,22.2,"2","$31,300 ","High school diploma or equivalent","None","Short-term on-the-job training","Furniture finishers","Jobs","Textile, apparel, etc","Furniture finishers","Woodworkers","Production occupations","Jobs/Production occupations/Woodworkers/Furniture finishers/Textile, apparel, etc"
"968","Model makers & patternmakers, wood",3,"Summary","3.7","3.8","0.1",3.1,45,"0.4","$51,470 ",NA,NA,NA,"Model makers & patternmakers, wood","Jobs","Textile, apparel, etc","Model makers & patternmakers, wood","Woodworkers","Production occupations","Jobs/Production occupations/Woodworkers/Model makers & patternmakers, wood/Textile, apparel, etc"
"969","Model makers, wood",4,"Line item","1.9","1.9","0.1",3,44.8,"0.2","$50,150 ","High school diploma or equivalent","None","Moderate-term on-the-job training","Model makers, wood","Jobs","Model makers, wood","Model makers & patternmakers, wood","Woodworkers","Production occupations","Jobs/Production occupations/Woodworkers/Model makers & patternmakers, wood/Model makers, wood"
"970","Patternmakers, wood",4,"Line item","1.8","1.8","0.1",3.3,45.2,"0.2","$52,380 ","High school diploma or equivalent","None","Moderate-term on-the-job training","Patternmakers, wood","Jobs","Patternmakers, wood","Model makers & patternmakers, wood","Woodworkers","Production occupations","Jobs/Production occupations/Woodworkers/Model makers & patternmakers, wood/Patternmakers, wood"
"971","Woodworking machine setters, operators, & tenders",3,"Summary","131.9","132.2","0.3",0.2,3,"14.6","$29,100 ",NA,NA,NA,"Woodworking machine setters, operators, etc","Jobs","Patternmakers, wood","Woodworking machine setters, operators, etc","Woodworkers","Production occupations","Jobs/Production occupations/Woodworkers/Woodworking machine setters, operators, etc/Patternmakers, wood"
"972","Sawing machine setters, operators, & tenders, wood",4,"Line item","54.8","54.6","-0.2",-0.3,6.2,"6.2","$29,080 ","High school diploma or equivalent","None","Moderate-term on-the-job training","Sawing machine setters, operators, etc","Jobs","Sawing machine setters, operators, etc","Woodworking machine setters, operators, etc","Woodworkers","Production occupations","Jobs/Production occupations/Woodworkers/Woodworking machine setters, operators, etc/Sawing machine setters, operators, etc"
"973","Woodworking machine setters, operators, & tenders, except sawing",4,"Line item","77.1","77.5","0.5",0.6,0.7,"8.4","$29,110 ","High school diploma or equivalent","None","Moderate-term on-the-job training","Woodworking machine setters, operators, etc","Jobs","Woodworking machine setters, operators, etc","Woodworking machine setters, operators, etc","Woodworkers","Production occupations","Jobs/Production occupations/Woodworkers/Woodworking machine setters, operators, etc/Woodworking machine setters, operators, etc"
"974","Woodworkers, all other",3,"Line item","12.1","12.5","0.4",3.6,43.5,"1.4","$30,680 ","High school diploma or equivalent","None","Moderate-term on-the-job training","Woodworkers, all other","Jobs","Woodworking machine setters, operators, etc","Woodworkers, all other","Woodworkers","Production occupations","Jobs/Production occupations/Woodworkers/Woodworkers, all other/Woodworking machine setters, operators, etc"
"975","Plant & system operators",2,"Summary","314","309.7","-4.3",-1.4,0.1,"27.8","$58,350 ",NA,NA,NA,"Plant & system operators","Jobs","Woodworking machine setters, operators, etc","Woodworkers, all other","Plant & system operators","Production occupations","Jobs/Production occupations/Plant & system operators/Woodworkers, all other/Woodworking machine setters, operators, etc"
"976","Power plant operators, distributors, & dispatchers",3,"Summary","54.7","54.2","-0.6",-1,NA,"4.6","$80,440 ",NA,NA,NA,"Power plant operators, distributors, etc","Jobs","Woodworking machine setters, operators, etc","Power plant operators, distributors, etc","Plant & system operators","Production occupations","Jobs/Production occupations/Plant & system operators/Power plant operators, distributors, etc/Woodworking machine setters, operators, etc"
"977","Nuclear power reactor operators",4,"Line item","7","6.3","-0.7",-10.2,NA,"0.5","$93,370 ","High school diploma or equivalent","None","Long-term on-the-job training","Nuclear power reactor operators","Jobs","Nuclear power reactor operators","Power plant operators, distributors, etc","Plant & system operators","Production occupations","Jobs/Production occupations/Plant & system operators/Power plant operators, distributors, etc/Nuclear power reactor operators"
"978","Power distributors & dispatchers",4,"Line item","11.6","11.3","-0.3",-2.5,NA,"1","$82,510 ","High school diploma or equivalent","None","Long-term on-the-job training","Power distributors & dispatchers","Jobs","Power distributors & dispatchers","Power plant operators, distributors, etc","Plant & system operators","Production occupations","Jobs/Production occupations/Plant & system operators/Power plant operators, distributors, etc/Power distributors & dispatchers"
"979","Power plant operators",4,"Line item","36.1","36.5","0.5",1.3,NA,"3.2","$77,180 ","High school diploma or equivalent","None","Long-term on-the-job training","Power plant operators","Jobs","Power plant operators","Power plant operators, distributors, etc","Plant & system operators","Production occupations","Jobs/Production occupations/Plant & system operators/Power plant operators, distributors, etc/Power plant operators"
"980","Stationary engineers & boiler operators",3,"Line item","35.7","37.5","1.7",4.8,0.7,"3.9","$59,890 ","High school diploma or equivalent","None","Long-term on-the-job training","Stationary engineers & boiler operators","Jobs","Power plant operators","Stationary engineers & boiler operators","Plant & system operators","Production occupations","Jobs/Production occupations/Plant & system operators/Stationary engineers & boiler operators/Power plant operators"
"981","Water & wastewater treatment plant & system operators",3,"Line item","119.2","115.4","-3.8",-3.2,NA,"9.2","$46,150 ","High school diploma or equivalent","None","Long-term on-the-job training","Water & wastewater treatment plant & system operators","Jobs","Power plant operators","Water & wastewater treatment plant & system operators","Plant & system operators","Production occupations","Jobs/Production occupations/Plant & system operators/Water & wastewater treatment plant & system operators/Power plant operators"
"982","Miscellaneous plant & system operators",3,"Summary","104.4","102.7","-1.7",-1.6,NA,"10","$64,560 ",NA,NA,NA,"Miscellaneous plant & system operators","Jobs","Power plant operators","Miscellaneous plant & system operators","Plant & system operators","Production occupations","Jobs/Production occupations/Plant & system operators/Miscellaneous plant & system operators/Power plant operators"
"983","Chemical plant & system operators",4,"Line item","33.2","30.1","-3.1",-9.2,NA,"2.8","$62,170 ","High school diploma or equivalent","None","Moderate-term on-the-job training","Chemical plant & system operators","Jobs","Chemical plant & system operators","Miscellaneous plant & system operators","Plant & system operators","Production occupations","Jobs/Production occupations/Plant & system operators/Miscellaneous plant & system operators/Chemical plant & system operators"
"984","Gas plant operators",4,"Line item","17.3","17.3","0",0,NA,"1.7","$69,030 ","High school diploma or equivalent","None","Long-term on-the-job training","Gas plant operators","Jobs","Gas plant operators","Miscellaneous plant & system operators","Plant & system operators","Production occupations","Jobs/Production occupations/Plant & system operators/Miscellaneous plant & system operators/Gas plant operators"
"985","Petroleum pump system operators, refinery operators, & gaugers",4,"Line item","41.8","43","1.2",2.8,NA,"4.3","$67,770 ","High school diploma or equivalent","None","Moderate-term on-the-job training","Petroleum pump system operators, refinery operators, etc","Jobs","Petroleum pump system operators, refinery operators, etc","Miscellaneous plant & system operators","Plant & system operators","Production occupations","Jobs/Production occupations/Plant & system operators/Miscellaneous plant & system operators/Petroleum pump system operators, refinery operators, etc"
"986","Plant & system operators, all other",4,"Line item","12.1","12.4","0.2",1.9,NA,"1.2","$56,330 ","High school diploma or equivalent","None","Moderate-term on-the-job training","Plant & system operators, all other","Jobs","Plant & system operators, all other","Miscellaneous plant & system operators","Plant & system operators","Production occupations","Jobs/Production occupations/Plant & system operators/Miscellaneous plant & system operators/Plant & system operators, all other"
"987","Other production occupations",2,"Summary","2,623.70","2,605.70","-18.1",-0.7,1.7,"308.6","$32,510 ",NA,NA,NA,"Other production occupations","Jobs","Plant & system operators, all other","Miscellaneous plant & system operators","Other production occupations","Production occupations","Jobs/Production occupations/Other production occupations/Miscellaneous plant & system operators/Plant & system operators, all other"
"988","Chemical processing machine setters, operators, & tenders",3,"Summary","121.3","117.6","-3.6",-3,0.6,"12.3","$44,110 ",NA,NA,NA,"Chemical processing machine setters, operators, etc","Jobs","Plant & system operators, all other","Chemical processing machine setters, operators, etc","Other production occupations","Production occupations","Jobs/Production occupations/Other production occupations/Chemical processing machine setters, operators, etc/Plant & system operators, all other"
"989","Chemical equipment operators & tenders",4,"Line item","74.1","70.4","-3.7",-5,0.6,"7.3","$47,800 ","High school diploma or equivalent","None","Moderate-term on-the-job training","Chemical equipment operators & tenders","Jobs","Chemical equipment operators & tenders","Chemical processing machine setters, operators, etc","Other production occupations","Production occupations","Jobs/Production occupations/Other production occupations/Chemical processing machine setters, operators, etc/Chemical equipment operators & tenders"
"990","Separating, filtering, clarifying, precipitating, & still machine setters, operators, & tenders",4,"Line item","47.2","47.3","0.1",0.1,0.6,"5","$39,040 ","High school diploma or equivalent","None","Moderate-term on-the-job training","Separating, filtering, etc","Jobs","Separating, filtering, etc","Chemical processing machine setters, operators, etc","Other production occupations","Production occupations","Jobs/Production occupations/Other production occupations/Chemical processing machine setters, operators, etc/Separating, filtering, etc"
"991","Crushing, grinding, polishing, mixing, & blending workers",3,"Summary","187.7","176.2","-11.6",-6.2,0.3,"19","$35,100 ",NA,NA,NA,"Crushing, grinding, etc","Jobs","Separating, filtering, etc","Crushing, grinding, etc","Other production occupations","Production occupations","Jobs/Production occupations/Other production occupations/Crushing, grinding, etc/Separating, filtering, etc"
